2025.08.01    , previous  , current   , rate     , payment
electricity   , 21025.8   , 21200.3   , $4.32    , $0.00
water         , 82.102    , 89.519    , $56.88   , $0.00
gas           , 9791.021  , 9808.410  , $7.96    , $0.00
gas delivery  ,           ,           ,          , $122.20
water delivery,           ,           ,          , $20.00
maintenance   ,           ,           ,          , $409.49
apartment     ,           ,           ,          , $8000.00
              ,           ,           , total    , $0.00
#tabula: fmt D2:D4,E2:E9 = "$%.2f"
#tabulafile:./script.tbl
#tabula: let E9 = SUM(E2:E8)
