Date       , Expected payment , Expected sum , Real payment , Real sum    , Difference
01.01.2023 , 1200.00 zł       , 1200.00 zł   , 0.00 zł      , 0.00 zł     , -1200.00 zł
20.02.2023 , 1200.00 zł       , 2400.00 zł   , 2400.00 zł   , 2400.00 zł  , 0.00 zł
01.03.2023 , 1200.00 zł       , 3600.00 zł   , 0.00 zł      , 2400.00 zł  , -1200.00 zł
13.04.2023 , 1200.00 zł       , 4800.00 zł   , 2400.00 zł   , 4800.00 zł  , 0.00 zł
01.05.2023 , 1200.00 zł       , 6000.00 zł   , 0.00 zł      , 4800.00 zł  , -1200.00 zł
02.06.2023 , 1200.00 zł       , 7200.00 zł   , 2400.00 zł   , 7200.00 zł  , 0.00 zł
03.07.2023 , 1200.00 zł       , 8400.00 zł   , 1400.00 zł   , 8600.00 zł  , 200.00 zł
01.08.2023 , 1200.00 zł       , 9600.00 zł   , 0.00 zł      , 8600.00 zł  , -1000.00 zł
13.09.2023 , 1200.00 zł       , 10800.00 zł  , 2400.00 zł   , 11000.00 zł , 200.00 zł
03.10.2023 , 1200.00 zł       , 12000.00 zł  , 2400.00 zł   , 13400.00 zł , 1400.00 zł
01.11.2023 , 1200.00 zł       , 13200.00 zł  , 0.00 zł      , 13400.00 zł , 200.00 zł
01.12.2023 , 1200.00 zł       , 14400.00 zł  , 4800.00 zł   , 18200.00 zł , 3800.00 zł
15.01.2024 , 1200.00 zł       , 15600.00 zł  , 2400.00 zł   , 20600.00 zł , 5000.00 zł
01.02.2024 , 1200.00 zł       , 16800.00 zł  , 0.00 zł      , 20600.00 zł , 3800.00 zł
01.03.2024 , 1200.00 zł       , 18000.00 zł  , 0.00 zł      , 20600.00 zł , 2600.00 zł
01.04.2024 , 1200.00 zł       , 19200.00 zł  , 0.00 zł      , 20600.00 zł , 1400.00 zł
01.05.2024 , 1200.00 zł       , 20400.00 zł  , 0.00 zł      , 20600.00 zł , 200.00 zł
01.06.2024 , 1200.00 zł       , 21600.00 zł  , 0.00 zł      , 20600.00 zł , -1000.00 zł
01.07.2024 , 1200.00 zł       , 22800.00 zł  , 2200.00 zł   , 22800.00 zł , 0.00 zł
01.08.2024 , 1200.00 zł       , 24000.00 zł  , 0.00 zł      , 22800.00 zł , -1200.00 zł
01.09.2024 , 1200.00 zł       , 25200.00 zł  , 4400.00 zł   , 27200.00 zł , 2000.00 zł
01.10.2024 , 1200.00 zł       , 26400.00 zł  , 0.00 zł      , 27200.00 zł , 800.00 zł
01.11.2024 , 1200.00 zł       , 27600.00 zł  , 0.00 zł      , 27200.00 zł , -400.00 zł
01.12.2024 , 1200.00 zł       , 28800.00 zł  , 1600.00 zł   , 28800.00 zł , 0.00 zł
01.01.2025 , 1200.00 zł       , 30000.00 zł  , 0.00 zł      , 28800.00 zł , -1200.00 zł
01.02.2025 , 1200.00 zł       , 31200.00 zł  , 0.00 zł      , 28800.00 zł , -2400.00 zł
01.03.2025 , 1200.00 zł       , 32400.00 zł  , 3600.00 zł   , 32400.00 zł , 0.00 zł
01.04.2025 , 1200.00 zł       , 33600.00 zł  , 0.00 zł      , 32400.00 zł , -1200.00 zł
01.05.2025 , 1500.00 zł       , 35100.00 zł  , 0.00 zł      , 32400.00 zł , -2700.00 zł
01.06.2025 , 1500.00 zł       , 36600.00 zł  , 4200.00 zł   , 36600.00 zł , 0.00 zł
01.07.2025 , 1500.00 zł       , 38100.00 zł  , 1500.00 zł   , 38100.00 zł , 0.00 zł
01.08.2025 , 1500.00 zł       , 39600.00 zł  , 1500.00 zł   , 39600.00 zł , 0.00 zł
01.09.2025 , 1500.00 zł       , 41100.00 zł  , 0.00 zł      , 39600.00 zł , -1500.00 zł
01.10.2025 , 1500.00 zł       , 42600.00 zł  , 0.00 zł      , 39600.00 zł , -3000.00 zł
01.11.2025 , 1500.00 zł       , 44100.00 zł  , 0.00 zł      , 39600.00 zł , -4500.00 zł
01.12.2025 , 1500.00 zł       , 45600.00 zł  , 0.00 zł      , 39600.00 zł , -6000.00 zł
# ---{{{
#tabula: fmt B1:B37,C1:C37,D1:D37,E1:E37,F1:F37 = "%.2f zł";
#tabula: let C2:C37 = SUM(RANGE("B2", REL(-1, 0)));
#tabula: let E2:E37 = SUM(RANGE("D2", REL(-1, 0)));
#tabula: let F2:F37 = REF(REL(-1, 0)) - REF(REL(-3, 0));
# }}}---
